author,star,review_title,review_date,Text,ProductLink
Govind Bhagat,2.0 out of 5 stars,Product is not impressive as shown in the pic.,Reviewed in India on 21 March 2022,Finishing managerial not hoto the mark.,https://www.amazon.in/EYEBOGLER-Regular-T-Shirt-T285HS_White-Dark-Navy-Mustard/dp/B08MCZCYY6/ref=sr_1_18?dib=eyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs&dib_tag=se&keywords=t+shirt+for+men&qid=1716952800&sr=8-18
The Zero star rated Wired Ear phones.. WORST Product ever from Zebronics.. Never Expected like this Worst Product.. Myoney spent on this Product gone in Drain.. Never go for Zebronics.. Cheap Brand Cheap Products Manufacturer.. Fully Disappointed... No Volume.. works only for Media that too with Not audible.. DOESNT WORK for Calls. My sincere Advice...Please don't buy this Worst Product.,4.0 out of 5 stars,Value for Money.,Reviewed in India on 17 October 2023,Comfort and fit....Value for Money..,https://www.amazon.in/EYEBOGLER-Regular-T-Shirt-T285HS_White-Dark-Navy-Mustard/dp/B08MCZCYY6/ref=sr_1_18?dib=eyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs&dib_tag=se&keywords=t+shirt+for+men&qid=1716952800&sr=8-18
Placeholder,3.0 out of 5 stars,Good,Reviewed in India on 7 May 2024,Good,https://www.amazon.in/EYEBOGLER-Regular-T-Shirt-T285HS_White-Dark-Navy-Mustard/dp/B08MCZCYY6/ref=sr_1_18?dib=eyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs&dib_tag=se&keywords=t+shirt+for+men&qid=1716952800&sr=8-18
JJS,3.0 out of 5 stars,Badhiya.,Reviewed in India on 2 April 2024,Febric quality bahot bahot achchi hai.,https://www.amazon.in/EYEBOGLER-Regular-T-Shirt-T285HS_White-Dark-Navy-Mustard/dp/B08MCZCYY6/ref=sr_1_18?dib=eyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs&dib_tag=se&keywords=t+shirt+for+men&qid=1716952800&sr=8-18
Amazon Customer,5.0 out of 5 stars,Nice and very comfortable,Reviewed in India on 13 May 2024,My mom really liked it. What else you need for validation. Also it really soft and light weigh. I usually get rashes from certain fabric. But This one is nice for its price. Highly recommended.,https://www.amazon.in/London-Hills-Solid-Sleeve-T-Shirts/dp/B07FLZ19R9/ref=sr_1_19?dib=eyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs&dib_tag=se&keywords=t+shirt+for+men&qid=1716952800&sr=8-19
Shiva,4.0 out of 5 stars,Perfect fit,Reviewed in India on 24 May 2024,Good quality and great colours,https://www.amazon.in/London-Hills-Solid-Sleeve-T-Shirts/dp/B07FLZ19R9/ref=sr_1_19?dib=eyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs&dib_tag=se&keywords=t+shirt+for+men&qid=1716952800&sr=8-19
Abhishek Nema,5.0 out of 5 stars,T-shirt,Reviewed in India on 11 April 2024,"This bundle of half t-shirts offers great value for money with its variety and quality. The breathable fabric ensures comfort all day long. The assortment of colors and designs provides options for every occasion. Overall, it's a fantastic addition to your wardrobe for casual and versatile styling.",https://www.amazon.in/London-Hills-Solid-Sleeve-T-Shirts/dp/B07FLZ19R9/ref=sr_1_19?dib=eyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs&dib_tag=se&keywords=t+shirt+for+men&qid=1716952800&sr=8-19
parag,3.0 out of 5 stars,Affordable price for cheap quality of product,Reviewed in India on 5 February 2024,"Why I like those t-shirt:
1.Perfect Collar: Collar is not loose. It's perfect.
2.Perfect size: Size is also perfect for me.
3.Affordable price.
Why I don't like those t-shirt:
1.color quality: I ordered four color black, white, olive green and rust red. I don't like color. Color are so light. I think tshirts will loose their color in first 1-2 wash only.
2. Clothes quality: I thought clothes used for tshirt will be of high and heavy quality. But it feels so low and cheap quality.
If your want T-shirts for summer or tshirts for 1-2 time use definitely go for it.",https://www.amazon.in/London-Hills-Solid-Sleeve-T-Shirts/dp/B07FLZ19R9/ref=sr_1_19?dib=eyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs&dib_tag=se&keywords=t+shirt+for+men&qid=1716952800&sr=8-19
Madan L.,1.0 out of 5 stars,Bad quality product,Reviewed in India on 14 May 2024,"I don't like the product quality, it only looks good for 2 or 3 days, after that heavy lint will start appearing and it looks old t shirt after 2or 3 days.so don't buy this product.",https://www.amazon.in/London-Hills-Solid-Sleeve-T-Shirts/dp/B07FLZ19R9/ref=sr_1_19?dib=eyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs&dib_tag=se&keywords=t+shirt+for+men&qid=1716952800&sr=8-19
Mohd Shaab,5.0 out of 5 stars,Cotton t-shirt,Reviewed in India on 17 May 2024,Nice product useful and best deal,https://www.amazon.in/London-Hills-Solid-Sleeve-T-Shirts/dp/B07FLZ19R9/ref=sr_1_19?dib=eyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs&dib_tag=se&keywords=t+shirt+for+men&qid=1716952800&sr=8-19
PARAGJOGLEKAR,4.0 out of 5 stars,Great buy for the price,Reviewed in India on 25 April 2024,"Good quality, comfortable to wear, looks good.",https://www.amazon.in/London-Hills-Solid-Sleeve-T-Shirts/dp/B07FLZ19R9/ref=sr_1_19?dib=eyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs&dib_tag=se&keywords=t+shirt+for+men&qid=1716952800&sr=8-19
Abhinav Sharma,2.0 out of 5 stars,Poor quality,Reviewed in India on 8 March 2024,"For about 150 rupees each, the tshirts are a cheap buy - undoubtedly and this I did not expect much. However, each of the colored tshirts losing their color after first wash (used gentle wash mode in LG front load machine with cool water and 400 rpm) was disheartening. I have bought other tshirts for similar price 150-170 rupees a piece from Ajio many times, but I have not faced such issue.",https://www.amazon.in/London-Hills-Solid-Sleeve-T-Shirts/dp/B07FLZ19R9/ref=sr_1_19?dib=eyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs&dib_tag=se&keywords=t+shirt+for+men&qid=1716952800&sr=8-19
Senthilkumar,4.0 out of 5 stars,Tshirts review from customer,Reviewed in India on 16 May 2024,"Quality seems to be okay for the money. O ordered L size that seems to be fit for me. Can be used for normal use like going to shops, bike rides, inhouse. Not suitable for professional use. Value for money.",https://www.amazon.in/London-Hills-Solid-Sleeve-T-Shirts/dp/B07FLZ19R9/ref=sr_1_19?dib=eyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs&dib_tag=se&keywords=t+shirt+for+men&qid=1716952800&sr=8-19
Kamal Kant Bhatt,4.0 out of 5 stars,Good Quality,Reviewed in India on 21 May 2024,Good Cotton material,https://www.amazon.in/London-Hills-Solid-Sleeve-T-Shirts/dp/B07FLZ19R9/ref=sr_1_19?dib=eyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs&dib_tag=se&keywords=t+shirt+for+men&qid=1716952800&sr=8-19
This realme product is working cool.,5.0 out of 5 stars,Nice,Reviewed in India on 2 April 2024,Cloth is nice,https://www.amazon.in/AUSK-Polo-Tshirt-Color-Peach-Size-XX-Large/dp/B0C3WBB5H5/ref=sr_1_20?dib=eyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs&dib_tag=se&keywords=t+shirt+for+men&qid=1716952800&sr=8-20
Pramod Bhor,1.0 out of 5 stars,Poor quality,Reviewed in India on 1 March 2024,Fabric and stitching is poor,https://www.amazon.in/AUSK-Polo-Tshirt-Color-Peach-Size-XX-Large/dp/B0C3WBB5H5/ref=sr_1_20?dib=eyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs&dib_tag=se&keywords=t+shirt+for+men&qid=1716952800&sr=8-20
Pranav,4.0 out of 5 stars,Nice,Reviewed in India on 3 January 2024,Good,https://www.amazon.in/AUSK-Polo-Tshirt-Color-Peach-Size-XX-Large/dp/B0C3WBB5H5/ref=sr_1_20?dib=eyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs&dib_tag=se&keywords=t+shirt+for+men&qid=1716952800&sr=8-20
K.CHANDRA SEKARAN.,3.0 out of 5 stars,Suggession.,Reviewed in India on 19 November 2023,We want Pocket.,https://www.amazon.in/AUSK-Polo-Tshirt-Color-Peach-Size-XX-Large/dp/B0C3WBB5H5/ref=sr_1_20?dib=eyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs&dib_tag=se&keywords=t+shirt+for+men&qid=1716952800&sr=8-20
Harish Modha,5.0 out of 5 stars,Best tshirt,Reviewed in India on 9 June 2023,Best tshirt same looks in photo of product. Size also ok.quality of clothe is also good and smooth.,https://www.amazon.in/AUSK-Polo-Tshirt-Color-Peach-Size-XX-Large/dp/B0C3WBB5H5/ref=sr_1_20?dib=eyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs&dib_tag=se&keywords=t+shirt+for+men&qid=1716952800&sr=8-20
Mohammed owais,1.0 out of 5 stars,Low quality product not at all worth money,Reviewed in India on 15 November 2023,"The quality of the T-shirt is very low. Not a all a worth for 400+ rupees.

Highly not recommended",https://www.amazon.in/AUSK-Polo-Tshirt-Color-Peach-Size-XX-Large/dp/B0C3WBB5H5/ref=sr_1_20?dib=eyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs&dib_tag=se&keywords=t+shirt+for+men&qid=1716952800&sr=8-20
Tshirt,5.0 out of 5 stars,Tshirt,Reviewed in India on 3 August 2023,Nice product,https://www.amazon.in/AUSK-Polo-Tshirt-Color-Peach-Size-XX-Large/dp/B0C3WBB5H5/ref=sr_1_20?dib=eyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs&dib_tag=se&keywords=t+shirt+for+men&qid=1716952800&sr=8-20
S.M. YOUSUF ABBAS RIZVI,2.0 out of 5 stars,Please improve the qualty.,Reviewed in India on 23 April 2024,this febric is not good acordind price wise,https://www.amazon.in/AUSK-Polo-Tshirt-Color-Peach-Size-XX-Large/dp/B0C3WBB5H5/ref=sr_1_20?dib=eyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs&dib_tag=se&keywords=t+shirt+for+men&qid=1716952800&sr=8-20
Adv. Vivek Gupta,3.0 out of 5 stars,Average,Reviewed in India on 6 July 2023,"On this price ( rs. 320), the quality of t-shirt is just average.",https://www.amazon.in/AUSK-Polo-Tshirt-Color-Peach-Size-XX-Large/dp/B0C3WBB5H5/ref=sr_1_20?dib=eyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs&dib_tag=se&keywords=t+shirt+for+men&qid=1716952800&sr=8-20
Cherry,2.0 out of 5 stars,Not same as the imay,Reviewed in India on 20 October 2023,"It's not peach it's faded bright red, also the material quality is poor.",https://www.amazon.in/AUSK-Polo-Tshirt-Color-Peach-Size-XX-Large/dp/B0C3WBB5H5/ref=sr_1_20?dib=eyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs&dib_tag=se&keywords=t+shirt+for+men&qid=1716952800&sr=8-20
k,5.0 out of 5 stars,worth it,Reviewed in India on 3 May 2024,good quality ..looks good ..fit is good price awesome...i went n piked up 3more different colors,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDQyMzUxNTE5NTI5MTQ5OjE3MTY5NTI4MDA6c3BfbXRmOjIwMTI5MTUxNTk5Mzk4OjowOjo&url=%2FAlan-Jones-Clothing-Collar-T-Shirt%2Fdp%2FB0BXKYPHZW%2Fref%3Dsr_1_21_sspa%3Fdib%3DeyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs%26dib_tag%3Dse%26keywords%3Dt%2Bshirt%2Bfor%2Bmen%26qid%3D1716952800%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
